mouse_name,eid
SWC_AY_006,df8251e6-61f3-45ac-be8b-17f237eba4bd
SWC_AY_006,fab1a912-4192-4296-8947-2f35ea0b3c7a
SWC_AY_006,c95ed982-318b-4ff9-809f-4272ed604518
SWC_AY_006,81a00bc1-2298-42ff-835e-44f3746efffe
SWC_AY_006,43404f8e-0ae6-4795-9c6c-0d9d90d6448d
SWC_AY_006,efee56ed-b5ea-4f45-a013-4c1b36c4dfe5
SWC_AY_006,9c688905-d1f4-4e04-94ca-680e7476c62d
SWC_AY_006,43b955ed-5cde-4bc4-b201-29a2c8e677eb
SWC_AY_006,346c404c-1229-41c4-bf69-32df1f10983a
SWC_AY_006,85151a76-a71e-4cd4-bf3b-01b7ff5ec7d1
SWC_AY_006,7a1cf288-270d-4ced-9da6-f111fcb64a66
SWC_AY_006,628c7455-a4cf-4304-b2ac-124a6dbe3e6f
SWC_AY_006,823c2f3e-b245-4fdb-ba8b-4f60faa18ec8
SWC_AY_006,50cd5372-766b-427a-aab2-db2b5c285bf1
SWC_AY_006,11336b7e-3b9f-45f5-8105-eee9c72c00c2
SWC_AY_006,7f41e39f-06df-44e9-8442-bb34a1a29618
SWC_AY_006,f4cfd177-f9c0-4238-8664-40b091020f30
SWC_AY_006,9fd4dd09-814c-4b75-9c03-2b3822d2bb3f
SWC_AY_006,c471fbeb-21e4-4d01-86e1-5a67327089ea
SWC_AY_006,c2dc7668-2cbb-4ef7-85cd-a64cc887ee3d
SWC_AY_006,c8bac6f7-e6c0-4a71-b132-6fb0e3eae567
SWC_AY_006,dc98a028-8aa6-4185-a0b4-1c802251c7f1
SWC_AY_006,3ca0b4da-c765-408a-964a-e7ee1ca71247
SWC_AY_006,1afd03ce-0247-4689-857d-a6fe454e993f
SWC_AY_006,9db5ac4e-8746-492e-be70-ed884d1469d7
SWC_AY_006,ecb6537f-1ac6-4d21-813d-ecb1242031bc
SWC_AY_006,19becee2-8876-4577-9237-f6604749df19
SWC_AY_006,fbf17127-bcd2-4699-897a-80d917093d31
SWC_AY_006,17ad0ba8-1ae0-4c5b-984d-b6ad13725d8b
SWC_AY_006,b8b0c1f2-c012-42a1-8482-1744496df656
SWC_AY_006,adb6ab8c-c9a5-4e7c-99ee-9c456f4d1b04
SWC_AY_006,3499d182-132e-4c03-a853-c6e5d1dc12cf
SWC_AY_006,a8fb5aa3-bf06-40a2-b1ea-5773aa07e374
SWC_AY_006,fbf72af1-c777-403b-ad14-97bc220db751
SWC_AY_006,7fa53427-0011-4204-b2b6-a150f25c4fb1
SWC_AY_006,14aa23a1-43dc-4163-bd0d-b8af34660e68
SWC_AY_006,419e624e-2b0d-47ba-8dfc-1fe2eaecaa1c
SWC_AY_006,a6532b11-ec0b-4950-8a2c-d42988c94f3b
SWC_AY_006,351e4866-8246-47c9-9e2c-4c3b155020d3
SWC_AY_006,a3a56690-f20b-4301-be9c-c872c92c3e10
SWC_AY_006,800cafdd-b649-47f6-b5c5-e9ab48f20e7e
SWC_AY_006,d4c811e7-aaa4-40bd-b34f-cac0e9c6a6a6
SWC_AY_006,025647c7-47f6-4ff4-94a9-d8448a44ceb2
SWC_AY_006,44804a50-2798-4487-9fd9-3bf486f8dc8d
SWC_AY_006,6aa8136d-5f7d-4480-bf32-4e8573fac438
SWC_AY_006,dc566ee0-a204-49e0-87e1-39385caf6c17
SWC_AY_006,da607c74-41f2-4874-b479-10e56ea9b7d8
SWC_AY_006,68c88d54-3a66-41ff-9991-6ae6cd5efb8c
SWC_AY_006,0e976843-e0da-4d81-bf4e-392d89495991
SWC_AY_006,5061926d-b7ce-40b1-9f87-2b195e18ea1c
SWC_AY_006,b7804bc4-cd95-4b7a-bc89-507b0d1fb290
SWC_AY_006,063e79f0-8a34-4acc-98b8-8df644d24580
SWC_AY_006,e3416b27-419c-46ae-a7d0-6eaf8ca12747
SWC_AY_006,e36935ea-dcfe-4fd6-95ba-405aa211e751
SWC_AY_006,d996950a-a35d-4ae9-9594-f077e6be3853
