,eid,has_photometry
103,c38cee7b-b73d-4ac8-93d3-1770735fea17,True
104,2dc38d3a-a57d-4796-b293-bc1e631e6c1e,True
105,ecbeaea2-6aa3-428d-856e-7f004dc95c73,True
106,4aa5ade5-b2d9-4921-a0b9-0fa0ee1deb02,True
107,7d4a7338-2034-4347-b2aa-55a8f6b0ae05,True
108,3c69cb31-7ab4-4d03-a96b-815603759213,True
109,1763cf46-4234-4f4a-b05d-529f7cac5ba3,True
110,503696cc-b0e2-463a-b132-9c0d2eb0b12d,True
111,c91f569d-4eed-4486-9306-df4c5e20aa0c,True
112,c9a0f251-bee5-47ba-96a5-5e07112c6530,True
113,f0c4477f-8623-43c7-a3bf-f0487ba66442,True
114,27f110b0-5326-4b89-832b-64459de65967,True
115,4e34339a-c34f-48f6-af6d-c658395573a5,True
116,c5cfda0c-03df-4f73-a3c3-b5c1608e753e,True
117,d291a097-d904-458f-b24f-93b34abe0595,True
118,abcd826e-1899-4544-8f67-247c520887c3,True
119,29aea2cf-6bad-4a1b-a7af-5ae6b344dc82,True
120,8b4c3f6e-09f4-48cb-bdd7-7212714ac385,True
121,8cf9c040-d76f-4632-848f-e4bca5a00460,True
122,9a3ad802-a6f8-4d98-8703-50f42edc4245,True
123,ce99b8c7-b5e1-43c8-8afd-49522c076de6,True
124,f969302e-826d-478d-8fe2-6cd2b5891cb0,True
125,c4fd7540-062e-437d-8199-fe204b57ca71,True
126,a94f32cc-3e17-4774-b4f8-eab90383fec9,True
127,57a0f7c5-ab84-4b93-8c64-51229157b29b,True
128,47c37c52-d870-4ff6-b519-757f3e071525,True
129,2e01394d-766f-403b-a136-feb0c10f82b5,True
130,7be63997-b185-4cfd-897a-e298a1116f62,True
131,daad7182-3f1a-495b-a0d3-7176efa4dc0b,True
132,48995a3a-bc64-4e38-bee0-d0151c0870b6,True
133,10e9dbd8-8506-4dd0-817f-bec8ee98dd0e,True
134,0f53f525-84f9-4f08-80f8-dc66a8ad8147,True
135,a79cfbe2-78ab-44ee-a781-558e2b7c388c,True
136,1abae9bf-bbaf-45ec-877b-85364f2d20e6,True
137,825f7437-8334-484a-b3f1-ea0ca9479946,True
138,6907d51c-8beb-44a0-8177-baeec399be77,True
139,96a9cb2e-a72f-4a61-9c56-6672e9343f3c,True
140,3553c404-323a-48f3-8a32-8966a6405a2c,True
141,fa418850-f41d-4fbd-a54a-c3d359766b29,True
142,b803e652-d1f6-4f82-84d8-d96e91392b4e,True
143,b61d5448-3cb1-4016-b381-b17efddaf718,True
144,7fe0c48d-b660-4a9a-a516-bf677f534525,True
145,c18fd470-2935-4cdc-9c63-56857aa18715,True
146,e92883a9-c215-4dcc-af7f-6940e4735d6a,True
147,dbee1a39-5a33-4a40-ba97-b26027e24ce5,True
148,2054e4cd-5843-4423-95ed-74e7667a57f7,True
149,9a55d6c9-bc1d-4477-beb7-c4191a1706d0,True
150,b94c9ad1-19e9-4d70-b1d7-4dbdf77c44a1,True
151,6585eef4-54ab-4fe1-b16a-34eaa4d41725,True
152,0137f64d-9238-4d1a-b0df-fc3c5c001626,True
153,1efcd958-1985-448f-9a6b-91c3d43c2a42,True
154,429fb6e4-31bb-4e8d-9b39-6688a417d467,True
155,c8c2acc3-e6dc-4327-8ff0-94696ebbeab3,True
156,d4fcbfc4-e7a8-4c53-9ea1-56a7ce9fa2dd,True
157,79f2b661-b8ea-4674-a3c6-7d66dde3ba6a,True
158,5c55c830-aaa0-41f5-ab47-f447fda63fee,True
159,06f6e192-8986-464e-b257-29b9bca81d2b,True
160,7cd9092c-f7e8-4fe1-a186-3bace88575dc,True
161,f6227ff1-410c-4fbd-96a0-13f6f76bd4b6,True
162,e4d35ee0-6a70-4b0c-9534-3bf34de0f177,True
163,92e63336-63c1-4f51-a7e2-9734c1e7ee19,True
164,e85e83c7-e4d3-4d07-919f-d1164e744775,True
165,e5e98ee4-08e1-402d-868e-353821836f0a,True
166,7587fa0a-9927-4b53-adac-7f88eb4c0d45,True
167,dd7fa98d-594c-40f8-a200-046ca9fde5f1,True
168,88e5bf4c-24af-4a66-ab0b-5acc1b771bf0,True
169,b1346d4b-61bd-4edb-a694-046f4c53e078,True
170,5b9b73bb-5a14-4597-861a-65d3c238c0f1,True
171,6d0dc99b-b416-49e4-b4b8-cce0fc6ac074,True
172,5e08424e-9c1b-4d56-872b-1071f4412e61,True
173,7fc66a98-4b40-433d-b615-36999c419907,True
174,81871142-8852-4a21-a5da-3040f98eca70,True
175,2e1ac2e3-17e5-4493-8a8f-d32992b8339f,True
176,45fd0a3c-0a98-467f-ad60-9a6c453ad61e,True
177,fa392bd5-9734-4476-bcd5-42679a86396a,True
