,eid,pid,left_video,right_video
189,1b715600-0cbc-442c-bd00-5b0ac2865de1,bbe6ebc1-d32f-42dd-a89c-211226737deb,True,True
190,1b715600-0cbc-442c-bd00-5b0ac2865de1,f639f4f3-ac14-4114-b712-f445463597e4,True,True
194,78b4fff5-c5ec-44d9-b5f9-d59493063f00,19c5b0d5-a255-47ff-9f8d-639e634a7b61,True,False
195,78b4fff5-c5ec-44d9-b5f9-d59493063f00,1ca6cd06-1ed5-45af-b73a-017d5e7cff48,True,False
200,752456f3-9f47-4fbf-bd44-9d131c0f41aa,100433fa-2c59-4432-8295-aa27657fe3fb,True,False
201,752456f3-9f47-4fbf-bd44-9d131c0f41aa,d591a59c-b49b-46ba-a914-df379ada9813,True,False
202,3f859b5c-e73a-4044-b49e-34bb81e96715,6b6af675-e1ef-43a6-b408-95cfc71fe2cc,True,True
203,3f859b5c-e73a-4044-b49e-34bb81e96715,b2ea68e2-c732-4d17-8166-1a8595fff225,True,True
209,8928f98a-b411-497e-aa4b-aa752434686d,ad714133-1e03-4d3a-8427-33fc483daf1a,True,True
210,8928f98a-b411-497e-aa4b-aa752434686d,d7ec0892-0a6c-4f4f-9d8f-72083692af5c,True,True
218,158d5d35-a2ab-4a76-87b0-51048c5d5283,b76f24ea-95b1-4a0e-95eb-9c39b1283c40,True,True
219,30e5937e-e86a-47e6-93ae-d2ae3877ff8e,07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,True,False
220,413a6825-2144-4a50-b3fc-cf38ddd6fd1a,b9b101cf-24d3-4c2a-8464-bc91b9f0c767,True,False
223,6668c4a0-70a4-4012-a7da-709660971d7a,63679ae2-6c87-495b-b888-a7273e545636,True,False
227,931a70ae-90ee-448e-bedb-9d41f3eda647,eb99c2c8-e614-4240-931b-169bed23e9f5,True,False
232,cf43dbb1-6992-40ec-a5f9-e8e838d0f643,0e8d3cb3-2e4c-47a0-8bb4-65d2cc3161c6,True,False
241,7622da34-51b6-4661-98ae-a57d40806008,4f46198d-c54d-4627-9e4e-3c8fd4c3c070,True,True
242,7622da34-51b6-4661-98ae-a57d40806008,af775340-53d0-43cd-9cda-48e32b95adca,True,True
243,b658bc7d-07cd-4203-8a25-7b16b549851b,b910cbe2-0c68-40b2-b9f1-268e7c28320a,True,False
